iter	Passed	Remaining
0	1	144
1	2	137
2	3	128
3	4	116
4	6	118
5	7	115
6	8	115
7	9	114
8	11	112
9	12	111
10	13	110
11	14	108
12	16	107
13	17	105
14	18	104
15	19	103
16	21	103
17	22	101
18	23	100
19	24	99
20	26	98
21	27	97
22	28	95
23	29	94
24	31	93
25	32	92
26	33	90
27	34	89
28	35	88
29	37	86
30	38	85
31	39	84
32	41	83
33	42	82
34	43	81
35	45	80
36	46	79
37	48	78
38	49	77
39	50	76
40	52	75
41	52	72
42	54	71
43	55	70
44	56	69
45	58	68
46	59	67
47	60	65
48	61	64
49	63	63
50	64	61
51	65	60
52	67	59
53	68	58
54	69	56
55	70	55
56	71	54
57	72	52
58	74	51
59	75	50
60	76	49
61	77	47
62	79	46
63	80	45
64	81	43
65	82	42
66	84	41
67	85	40
68	86	39
69	88	37
70	89	36
71	90	35
72	91	33
73	92	32
74	94	31
75	95	30
76	96	28
77	97	27
78	98	26
79	99	24
80	101	23
81	102	22
82	103	21
83	104	19
84	105	18
85	106	17
86	107	16
87	108	14
88	110	13
89	111	12
90	112	11
91	113	9
92	114	8
93	115	7
94	117	6
95	118	4
96	119	3
97	120	2
98	121	1
99	122	0
